myAUC,avg_diff,power,avg_log2FC,pct.1,pct.2,cluster,gene
0.76,0.576707847166474,0.52,0.8320135511488226,0.78,0.353,Ventroposterior hypothalamus,Rpl31
0.74,0.497718939927973,0.48,0.7180566463905984,0.904,0.578,Ventroposterior hypothalamus,Rpl26
0.737,0.4957387724345293,0.474,0.7151998685676778,0.775,0.367,Ventroposterior hypothalamus,Rps17
0.735,0.4719838710561939,0.47,0.6809287901523466,0.977,0.691,Ventroposterior hypothalamus,Rps29
0.727,0.4454584808884019,0.45399999999999996,0.642660741299629,0.988,0.982,Ventroposterior hypothalamus,Atp1a2
0.724,0.4596913058331547,0.44799999999999995,0.6631943672652639,0.752,0.361,Ventroposterior hypothalamus,Rps12
0.723,0.451298095126871,0.44599999999999995,0.6510855238021722,0.809,0.45,Ventroposterior hypothalamus,Rpl17
0.719,0.45591606788612415,0.43799999999999994,0.6577478502009072,0.746,0.378,Ventroposterior hypothalamus,Rps25
0.718,0.4426391747430477,0.43599999999999994,0.6385933423049781,0.906,0.594,Ventroposterior hypothalamus,Rpl21
0.715,0.3696008892914434,0.42999999999999994,0.5332213700889161,0.89,0.534,Ventroposterior hypothalamus,Selenow
0.713,0.4581430755008251,0.42599999999999993,0.6609607430426583,0.892,0.587,Ventroposterior hypothalamus,Rps27
0.711,0.4509954329515512,0.42199999999999993,0.6506488745827739,0.84,0.532,Ventroposterior hypothalamus,Rpl14
0.71,0.42473658902585565,0.41999999999999993,0.6127653706716956,0.881,0.574,Ventroposterior hypothalamus,Rps23
0.71,0.42178258129099,0.41999999999999993,0.6085036383618576,0.869,0.545,Ventroposterior hypothalamus,Rpl23
0.71,0.41821888892313863,0.41999999999999993,0.6033623170555047,0.915,0.648,Ventroposterior hypothalamus,Chchd10
0.702,0.3630261744030788,0.4039999999999999,0.5237360615242137,0.923,0.64,Ventroposterior hypothalamus,Cox4i1
0.702,0.38273361391588956,0.4039999999999999,0.5521678867779647,0.923,0.622,Ventroposterior hypothalamus,Rpl37a
0.921,1.1631332403693428,0.8420000000000001,1.6780465577739614,0.999,0.936,Lateral hypothalamus,mt-Nd1
0.904,0.9479601811330847,0.808,1.3676174522809053,0.999,0.938,Lateral hypothalamus,mt-Nd4
0.839,1.27983768787699,0.6779999999999999,1.8464154854429304,0.895,0.49,Lateral hypothalamus,Mbp
0.83,0.7168793864330305,0.6599999999999999,1.0342383357224558,0.996,0.896,Lateral hypothalamus,mt-Nd2
0.789,0.5564075603163672,0.5780000000000001,0.8027264279815505,1,0.955,Lateral hypothalamus,mt-Cytb
0.778,0.4926394385385624,0.556,0.7107284749259075,0.993,0.981,Lateral hypothalamus,Atp1a2
0.737,0.5723045111705034,0.474,0.8256608801440679,0.614,0.161,Lateral hypothalamus,mt-Nd3
0.714,0.4163185445052442,0.42799999999999994,0.6006206995878269,0.986,0.928,Lateral hypothalamus,Slc6a11
0.711,0.46863611418899354,0.42199999999999993,0.6760989979219352,0.807,0.549,Lateral hypothalamus,Rps14
0.71,0.4369466091100038,0.41999999999999993,0.6303807060962505,0.968,0.913,Lateral hypothalamus,Scd2
0.709,0.3746554856955766,0.4179999999999999,0.5405136112548541,0.99,0.959,Lateral hypothalamus,Slc1a2
0.708,0.47852362994138187,0.4159999999999999,0.6903636678646168,0.834,0.615,Lateral hypothalamus,Id2
0.707,0.6379408796054676,0.4139999999999999,0.9203541433871512,0.583,0.224,Lateral hypothalamus,Mobp
0.706,0.5099318742837946,0.4119999999999999,0.735676186220445,0.717,0.428,Lateral hypothalamus,Rps15
0.703,0.4370588755844089,0.4059999999999999,0.6305426723821332,0.795,0.535,Lateral hypothalamus,Selenow
0.799,0.6266100375281842,0.5980000000000001,0.9040071937131591,0.984,0.817,Preoptic region,Ubb
0.767,0.6235422250357846,0.534,0.8995812758439966,0.868,0.54,Preoptic region,Eno1
0.753,0.5695445358502977,0.506,0.8216790774366309,0.748,0.292,Preoptic region,Rpl23a
0.746,0.5220112030356183,0.492,0.7531029739079684,0.803,0.422,Preoptic region,Morf4l1
0.746,0.5426073450220686,0.492,0.7828169258132653,0.885,0.655,Preoptic region,Gstm1
0.739,0.5243444553414909,0.478,0.7564691454387937,0.935,0.69,Preoptic region,Ldhb
0.738,0.5256692456111614,0.476,0.7583804137910648,0.953,0.897,Preoptic region,Glul
0.735,0.4540497245609386,0.47,0.6550552859410661,0.921,0.668,Preoptic region,Slc25a4
0.725,0.5053892858452393,0.44999999999999996,0.7291226164073414,0.86,0.563,Preoptic region,Slc25a5
0.723,0.5123684938758459,0.44599999999999995,0.7391914852224306,0.925,0.695,Preoptic region,Ubc
0.721,0.4322277235011769,0.44199999999999995,0.623572793229874,0.918,0.652,Preoptic region,Cd63
0.717,0.44190385306075997,0.43399999999999994,0.6375324973604839,0.913,0.666,Preoptic region,Prdx1
0.717,0.5079552479437438,0.43399999999999994,0.732824517201963,0.835,0.545,Preoptic region,Gstm5
0.713,0.427676933115256,0.42599999999999993,0.6170073905079807,0.738,0.373,Preoptic region,Septin7
0.711,0.5755799899475974,0.42199999999999993,0.8303863971323179,0.774,0.485,Preoptic region,Tspan7
0.71,0.4433928643438746,0.41999999999999993,0.6396806865544609,0.759,0.4,Preoptic region,Plp1
0.707,0.40924287289042227,0.4139999999999999,0.5904126632381645,0.881,0.635,Preoptic region,Atp5b
0.84,0.6798420154556108,0.6799999999999999,0.9808047042857684,1,0.997,Suprachiasmatic nucleus,Apoe
0.785,0.6815898920901148,0.5700000000000001,0.9833263572384521,0.919,0.607,Suprachiasmatic nucleus,Cd63
0.78,0.7152647015268738,0.56,1.0319088378157453,0.885,0.601,Suprachiasmatic nucleus,Cox4i1
0.774,1.572801492587379,0.548,2.2690729136585714,0.58,0.05,Suprachiasmatic nucleus,Fos
0.763,0.9267194282756126,0.526,1.3369735234686817,0.712,0.283,Suprachiasmatic nucleus,Fabp7
0.746,0.770871735729395,0.492,1.112132830298266,0.966,0.876,Suprachiasmatic nucleus,Mt2
0.739,0.45404435988091807,0.478,0.6550475463438044,0.97,0.853,Suprachiasmatic nucleus,Itm2b
0.731,0.5158446716877065,0.46199999999999997,0.7442065497128496,0.936,0.663,Suprachiasmatic nucleus,Selenop
0.72,0.8608869733877509,0.43999999999999995,1.2419973672724174,0.993,0.922,Suprachiasmatic nucleus,Dbi
0.717,0.9983998497316054,0.43399999999999994,1.4403865120320738,0.75,0.478,Suprachiasmatic nucleus,Fxyd1
0.705,0.4835625046018519,0.4099999999999999,0.6976332273489381,0.998,0.968,Suprachiasmatic nucleus,Cd81
0.702,0.563207881342215,0.4039999999999999,0.8125372174019931,0.775,0.55,Suprachiasmatic nucleus,Tuba1a
0.95,1.2991710689217542,0.8999999999999999,1.8743076583998286,0.995,0.739,Mediobasal hypothalamus,Son
0.881,1.201813212677614,0.762,1.733849962004827,0.814,0.125,Mediobasal hypothalamus,Gm9925
0.842,0.8659872015071935,0.6839999999999999,1.2493554410877392,0.907,0.581,Mediobasal hypothalamus,Pnisr
0.828,1.0366051875654856,0.6559999999999999,1.4955051634604997,0.797,0.225,Mediobasal hypothalamus,Snhg11
0.802,0.7326898336232948,0.6040000000000001,1.0570479894780866,0.856,0.57,Mediobasal hypothalamus,Rbm39
0.784,0.7677733602457012,0.5680000000000001,1.107662819353129,0.85,0.665,Mediobasal hypothalamus,Hnrnpa2b1
0.773,0.6604374327059115,0.546,0.9528098089822572,0.843,0.575,Mediobasal hypothalamus,Snrnp70
0.764,0.847146336563732,0.528,1.222173818667749,0.703,0.32,Mediobasal hypothalamus,Ttll3
0.758,0.792312727114165,0.516,1.1430656422408165,0.797,0.556,Mediobasal hypothalamus,Gria2
0.737,0.5537428218498031,0.474,0.7988820230105715,0.846,0.642,Mediobasal hypothalamus,Macf1
0.732,0.6733937724425441,0.46399999999999997,0.9715018560683695,0.662,0.32,Mediobasal hypothalamus,Prpf4b
0.732,0.6331103852723268,0.46399999999999997,0.9133852131676867,0.691,0.358,Mediobasal hypothalamus,Grk3
0.722,0.28827296122582613,0.44399999999999995,0.41588997158287544,0.93,0.683,Mediobasal hypothalamus,Nrxn1
0.717,0.5745201702025009,0.43399999999999994,0.8288574004418311,0.695,0.428,Mediobasal hypothalamus,Luc7l3
0.717,0.6270586356237304,0.43399999999999994,0.9046543839609555,0.638,0.312,Mediobasal hypothalamus,Gsdme
0.714,0.563676046429992,0.42799999999999994,0.8132126368524465,0.708,0.458,Mediobasal hypothalamus,Arglu1
0.706,0.5225424921435561,0.4119999999999999,0.7538694620692684,0.691,0.409,Mediobasal hypothalamus,Tnik
